Description, Type, Value
in heat, pose, attracted, 
 attraction, pose, attracted, 
 attarcted to someone, pose, attracted, 
a bow, pose, bowing, 
 showing respect, pose, bowing, 
 bowing down, pose, bowing, 
serving dinner, pose, catering, 
 providing food, pose, catering, 
being charming, pose, charming, 
 exuding charm, pose, charming, 
composing music, pose, composing, 
 playing music, pose, composing, 
drinking booze, pose, drinking, 
 drinking alcohol, pose, drinking, 
 having a drink, pose, drinking, 
 having a martini, pose, drinking, 
 enjoying a martini, pose, drinking, 
making a toast, pose, toasting, 
 offering a toast, pose, toasting, 
 raising his glass, pose, toasting, 
hugging, pose, embracing, 
 a bear hug, pose, embracing, 
 going in for a hug, pose, embracing, 
being enchanting, pose, enchanting, 
 casting a spell, pose, enchanting, 
 using magic, pose, enchanting, 
 performing a miracle, pose, enchanting, 
being enticing, pose, enticing, 
 offering an enticement, pose, enticing, 
 bringing cake, pose, enticing, 
 offering cake, pose, enticing, 
 bearing gifts, pose, enticing, 
bearing gifts, pose, sweet, 
 bringing dessert, pose, sweet, 
 serving dessert, pose, sweet, 
nurturing a baby, pose, feeding, 
 feeding a child, pose, feeding, 
 being a nanny, pose, feeding, 
setting free, pose, freeing, 
 breaking the chains, pose, freeing, 
leading a guided tour, pose, guiding, 
 leading a tour group, pose, guiding, 
 showing the way, pose, guiding, 
shaking hands, pose, handshaking, 
 going in for a handshake, pose, handshaking, 
 offering a hand, pose, handshaking, 
shaking hands, pose, shaking hands, 
 going in for a handshake, pose, shaking hands, 
 offering a hand, pose, shaking hands, 
high fiving, pose, high fiving, 
 going in for a high five, pose, high fiving, 
 , pose, high fiving, 
being inspired, pose, inspired, 
 gaining inspiration, pose, inspired, 
 seeing the light, pose, inspired, 
 having an idea, pose, inspired, 
 solving a puzzle, pose, inspired, 
 finding the solution, pose, inspired, 
being an inspiration, pose, inspiring, 
 inspiring others, pose, inspiring, 
 showing the way, pose, inspiring, 
 giving inspiration, pose, inspiring, 
 being inspiring, pose, inspiring, 
 , pose, inspiring, 
making an introduction, pose, introducing flipped, 
making an introduction, pose, introducing, 
filled with joy, pose, joy, 
 jumping with joy, pose, joy, 
 whooping with joy, pose, joy, 
 bursting with joy, pose, joy, 
going in for a kiss, pose, kissing, 
 smooching, pose, kissing, 
 locking lips, pose, kissing, 
being a good listener, pose, listening, 
 listening carefully, pose, listening, 
 being attentive, pose, listening, 
showing love, pose, loving, 
 opening one's heart, pose, loving, 
 offering one's heart, pose, loving, 
 pledging love, pose, loving, 
 being romantic, pose, loving, 
giving a massage, pose, massaging, 
 massaging tired muscles, pose, massaging, 
opening a box, pose, opening box, 
 opening Pandora's box, pose, opening box, 
painting a picture, pose, painting, 
 painting a portrait, pose, painting, 
 making a work of art, pose, painting, 
taking a photo, pose, photographing, 
 taking a picture, pose, photographing, 
 snapping a picture, pose, photographing, 
 using a camera, pose, photographing, 
throwing a pitch, pose, pitching, 
 throwing a ball, pose, pitching, 
 making a pitch, pose, pitching, 
wielding a bat, pose, batting, 
 waving a bat, pose, batting, 
 wielding a baseball bat, pose, batting, 
 hitting a home run, pose, batting, 
biting a flower, pose, biting flower, 
 dancing romantically, pose, biting flower, 
 doing a tango, pose, biting flower, 
 dancing the tango, pose, biting flower, 
offering praise, pose, praising, 
 offering a compliment, pose, praising, 
 using flattery, pose, praising, 
 showing appreciation, pose, praising, 
offering a helping hand, pose, promoting, 
 giving a hand up, pose, promoting, 
 standing on a ladder, pose, promoting, 
 climbing the ladder, pose, promoting, 
going somewhere, pose, purposeful, 
 following a goal, pose, purposeful, 
 , pose, purposeful, 
recruiting followers, pose, recruiting, 
 carrying a clipboard, pose, recruiting, 
 gathering signatures, pose, recruiting, 
stroking a cat, pose, stroking cat, 
 concocting a plan, pose, stroking cat, 
 holding a kitten, pose, stroking cat, 
offering a salute, pose, saluting, 
 saluting a superior officer, pose, saluting, 
 reporting for duty, pose, saluting, 
showing compliance, pose, minion, 
 awaiting orders, pose, minion, 
being sarcastic, pose, ironic, 
 being ironic, pose, ironic, 
 using mockery, pose, ironic, 
 poking fun, pose, ironic, 
 hiding behind a mask, pose, ironic, 
 being a hypocrite, pose, ironic, 
sculpting a statue, pose, sculpting, 
 carving a statue, pose, sculpting, 
 sculpting stone, pose, sculpting, 
 making a work of art, pose, sculpting, 
serving dinner, pose, serving, 
 working in McDonald'sworking in a fast food restaurant, pose, serving, 
serving dinner, pose, serving dinner, 
 providing food, pose, serving dinner, 
serving dinner, pose, serving plate, 
 providing food, pose, serving plate, 
carrying plates, pose, stacking, 
 stacking plates, pose, stacking, 
 collecting dishes, pose, stacking, 
 stacking dishes, pose, stacking, 
stacking fruit, pose, piling, 
 carrying fruit, pose, piling, 
showing biceps, pose, strong, 
 working out, pose, strong, 
 showing off, pose, strong, 
offering support, pose, supporting, 
