Pose	Type	Depicts		
attracted	pose	in heat, attraction, attarcted to someone		
bowing	pose	a bow, showing respect, bowing down		
catering	pose	serving dinner, providing food		
charming	pose	being charming, exuding charm		
composing	pose	composing music, playing music		
drinking	pose	drinking booze, drinking alcohol, having a drink, having a martini, enjoying a martini		
toasting	pose	making a toast, offering a toast, raising his glass		
embracing	pose	hugging, a bear hug, going in for a hug		
enchanting	pose	being enchanting, casting a spell, using magic, performing a miracle		
enticing	pose	being enticing, offering an enticement, bringing cake, offering cake, bearing gifts		
sweet	pose	bearing gifts, bringing dessert, serving dessert		
feeding	pose	nurturing a baby, feeding a child, being a nanny		
freeing	pose	setting free, breaking the chains		
guiding	pose	leading a guided tour, leading a tour group, showing the way		
handshaking	pose	shaking hands, going in for a handshake, offering a hand		
shaking hands	pose	shaking hands, going in for a handshake, offering a hand		
high fiving	pose	high fiving, going in for a high five
inspired	pose	being inspired, gaining inspiration, seeing the light, having an idea, solving a puzzle, finding the solution		
inspiring	pose	being an inspiration, inspiring others, showing the way, giving inspiration, being inspiring, 		
introducing flipped	pose	making an introduction		
introducing	pose	making an introduction		
joy	pose	filled with joy, jumping with joy, whooping with joy, bursting with joy		
kissing	pose	going in for a kiss, smooching, locking lips		
listening	pose	being a good listener, listening carefully, being attentive		
loving	pose	showing love, opening one's heart, offering one's heart, pledging love, being romantic		
massaging	pose	giving a massage, massaging tired muscles		
opening box	pose	opening a box, opening Pandora's box		
painting	pose	painting a picture, painting a portrait, making a work of art		
photographing	pose	taking a photo, taking a picture, snapping a picture, using a camera		
pitching	pose	throwing a pitch, throwing a ball, making a pitch		
batting	pose	wielding a bat, waving a bat, wielding a baseball bat, hitting a home run		
biting flower	pose	biting a flower, dancing romantically, doing a tango, dancing the tango		
praising	pose	offering praise, offering a compliment, using flattery, showing appreciation		
promoting	pose	offering a helping hand, giving a hand up, standing on a ladder, climbing the ladder		
purposeful	pose	going somewhere, following a goal, 		
recruiting	pose	recruiting followers, carrying a clipboard, gathering signatures		
stroking cat	pose	stroking a cat, concocting a plan, holding a kitten		
saluting	pose	offering a salute, saluting a superior officer, reporting for duty		
minion	pose	showing compliance, awaiting orders		
ironic	pose	being sarcastic, being ironic, using mockery, poking fun, hiding behind a mask, being a hypocrite		
sculpting	pose	sculpting a statue, carving a statue, sculpting stone, making a work of art		
serving	pose	serving dinner, working in McDonald'sworking in a fast food restaurant		
serving dinner	pose	serving dinner, providing food		
serving plate	pose	serving dinner, providing food		
stacking	pose	carrying plates, stacking plates, collecting dishes, stacking dishes		
piling	pose	stacking fruit, carrying fruit		
strong	pose	showing biceps, working out, showing off		
supporting	pose	offering support, showing support, giving moral support, being a loyal friend		
sympathetic	pose	showing sympathy, being sympathetic, offering a shoulder to cry on		
wooing	pose	wooing, offering one's heart, being romantic, proposing marriage		
patriotic	pose	carrying the flag, defending freedom, being a patriot, fighting for democracy		
signing	pose	signing a contract, signing a petition, holding a pen		
munching	pose	having a snack, snacking, eating cornflakes, eating breakfast, eating breakfast cereal 		
goading	pose	goading a bull, waving a red rag		
leaping	pose	leaping in the air, high jumping, jumping in the air, reaching for the sky		
tipping	pose	giving a tip, being a good tipper, offering a tip, being generous		
interviewing	pose	interviewing a celebrity, holding a microphone, reporting live from the scene, breaking a story		
breakfasting	pose	having breakfast, eating breakfast, eating breakfast cereal		
offering	pose	making an offering, performing a religious rite, performing a ritual, praying at an altar		
heroic	pose	being hero, being a hero, fighting heroically, standing up for justice, fighting for justice, wearing a cape		
rescuing	pose	rescuing a damsel, saving the day, swooping in to save the day, riding a white steed		
treating	pose	treating an ailment, offering treatment, diagnosing an ailment, filling a prescription, offering medicine		
knightly	pose	dedicating oneself to a cause, going down on bended knee		
ushering	pose	pointing the way, waving an umbrella, pointing with an umbrella		
imperious	pose	being imperious, issuing edicts, giving orders, being bossy, being a royal pain		
pointing	pose	pointing at the sky, looking up at the sky, pointing upwards		
pointing with umbrella	pose	pointing with an umbrella, waving an umbrella, pointing upwards		
droving	pose	leading a flock, being a shepherd, protecting the flock, herding sheep		
on soapbox	pose	standing on a soapbox, giving a speech, giving a lecture, lecturing to others, preaching to others, speaking in public		
negotiating for	pose	negotiating for another		
owed	pose	demanding payment, seeking payment, calling in a loan		
owing	pose	going into debt, going bankrupt, sinking into debt		
paying	pose	paying a debt, making a payment, depositing cash, making a deposit		
renting	pose	renting an apartment, getting the keys, holding keys		
hoarding	pose	hoarding gold, being a hoarder, being a miser, hiding wealth		
negotiating	pose	negotiating a deal, closing a deal, negotiating terms		
selling	pose	selling a product, making a sales pitch		
profiting	pose	profiting from a deal, making a profit, earning a windfall, making money		
rewarding	pose	offering a reward, giving a reward, rewarding loyalty		
blackbag	pose	peering into the abyss, holding a black bag, 		
blackmailing	pose	blackmailing a mark, engaging in blackmail, extorting a bribe,		
corrupting	pose	being a bad influence, offering a bribe, corrupting morals, engaging in corruption		
devious	pose	being devious, thinking wicked thoughts, plotting a wicked scheme, hatching a cunning plan		
luring	pose	luring innocents, baiting a trap, leading others astray		
mischievous	pose	being  mischievous, pulling a prank, being a brat, causing trouble, being irresponsible		
misleading	pose	leading others astray, being misleading, engaging in misdirection		
misrepresenting	pose	being a phony, acting in bad faith, being two-faced, being a hypocrite, engaging in deception		
snatching	pose	kidnapping an innocent, engaging in dirty tricks		
sneaky	pose	being sneaky, hatching a plot, hatching a conspiracy		
stalking	pose			
tracking	pose	following the trail, following a trail of bread crumbs		
snake charming	pose	charming a snake, charming a rattlesnake, selling snake oil		
manipulating	pose	manipulating others, being manipulative, masterminding a conspiracy		
gossiping about	pose	spreading gossip, telling tales, telling tall tales		
gossipy	pose	spreading gossip, telling tales, telling tall tales		
lying for	pose	telling lies, spreading lies, spreading propaganda		
cheating	pose	cheating at cards, playing cards, playing poker		
evaluating	pose	evaluating the situation, holding a clipboard, performing an analysis, fllling out a questionnaire		
gagged	pose	being gagged, taking a vow of silence, remaining silent, refusing to speak, being muzzled		
learning	pose	taking a test, sitting a test, completing a lesson		
philosophical	pose	being philosophical, thinking deep thoughts, thinking deeply, pondering the big questions		
philosophical with beard	pose	seeking ancient wisdom		
reading	pose	reading a book, reading a manual, enjoying a good book		
reading comics	pose	reading a comic, reading a comic strip, being a geek		
geeky	pose	being a geek, collecting comic books, playing with dolls		
shouting	pose	shouting loudly, ranting in public, delivering a harangue, making an announcement		
speaking	pose	speaking in public, holding a microphone, speaking into a microphone		
speaking for	pose	relaying a message		
whispering	pose	whispering in a low voice, sharing a secret, leaking an official secret, breaking a confidence		
thinking	pose	thinking out loud, worrying about life, thinking hard		
thinking with beard	pose	seeking ancient wisdom		
questioning	pose	asking questions, posing a riddle, pondering the situation, plagued by doubt		
indicating	pose	pointing the way, pointing the finger		
chronicling	pose	writing a chronicle, writing on a scroll, recording history		
lecturing	pose	giving a lecture, wagging the finger, delivering a sermon		
monitoring	pose	monitoring the situation, looking through a spyglass, using a telescope, looking through a telescope, looking on from afar		
tweeting	pose	sharing a tweet, using social media, updating their status		
interrogating	pose	interrogating a suspect, getting answers, cracking the whip		
examining	pose	holding a magnifying glass, examining the evidence		
probing	pose	holding a magnifying glass, examining the scene		
foretelling	pose	telling the future, forecasting the future, using a crystal ball		
one	pose			
two	pose			
three	pose			
four	pose			
five	pose			
six	pose			
seven	pose			
eight	pose			
nine	pose			
breakfasting flipped	pose	having breakfast, eating breakfast, eating breakfast cereal		
zero	pose	zero points		
one flipped	pose			
two flipped	pose			
three flipped	pose			
four flipped	pose			
five flipped	pose			
six flipped	pose			
seven flipped	pose			
eight flipped	pose			
nine flipped	pose			
zero flipped	pose			
kneeling	pose	kneeling down, bowing deeply, begging foregiveness		
campaigning	pose	running a campaign, campaigning for change, handing out leaflets, distributing pamphlets		
voting for	pose	voting for a candidate, voting yes, casting a vote		
commanding	pose	giving commands, commanding a junior officer, giving orders		
directing	pose	directing a movie, shouting action		
leading	pose	leading a flock, herding sheep, guiding the flock		
leading with beard	pose	guiding the flock, spreading the good word		
ruling	pose	ruling with impunity, issuing edicts, issuing a royal decree		
brainwashing	pose	brainwashing a subject, being a control freak, using mind control, running a cult		
conquering	pose	conquering an enemy, vanquishing an opponent, declaring victory		
campaigning against	pose	running a negative campaign, campaigning against the encumbent		
radicalizing	pose	radicalizing a zealot, launching a religious crusade, declaring a fatwa		
voting against	pose	casting a NO vote, voting against the proposition		
worried	pose	expressing worry, worrying about a problem, reacting nervously		
suicidal	pose	committing suicide, contemplating suicide, succumbing to fatalism		
persian urn prop	prop			
grecian urn prop	prop			
sharktank prop	prop			
cerberus prop	prop			
whirlwind	pose			
chimera prop	prop			
ghost prop	prop			
grim reaper prop	prop			
skeleton prop	prop			
wolf howling prop	prop			
wolf prop	prop			
lion roaring prop	prop			
lion prop	prop			
panther roaring prop	prop			
panther prop	prop			
tiger roaring prop	prop			
dog prop	prop			
monolith prop	prop			
timebomb prop	prop			
